Name,Total,Mock 5,,,,Mock 6,,,,Mock 7,,,,Mock 8,,,,Mock 9,,,
,,Total,A,B,C,Total,A,B,C,Total,A,B,C,Total,A,B,C,Total,A,B,C
MSaheed,137.50,55,55,0,0,27.50,27.50,0.00,0.00,27.50,27.50,0.00,0.00,0,0,0,0,27.50,27.50,0.00,0.00
pIyer,135.00,40,40,0,0,27.00,20.00,7.00,0.00,27.00,20.00,7.00,0.00,14,0,14,0,27.00,20.00,7.00,0.00
parth_kabra,132.50,26.50,11.00,15.50,0.00,44,22,22,0,26.50,11.00,15.50,0.00,9,0,9,0,26.50,11.00,15.50,0.00
Nanogines,122.50,5,5,0,0,44,44,0,0,24.50,24.50,0.00,0.00,24.50,24.50,0.00,0.00,24.50,24.50,0.00,0.00
Gabrupro,105.00,21.00,10.00,11.00,0.00,42,20,22,0,21.00,10.00,11.00,0.00,0,0,0,0,21.00,10.00,11.00,0.00
mananman23,81.67,16.33,6.67,8.00,1.67,20,20,0,0,20,0,15,5,9,0,9,0,16.33,6.67,8.00,1.67
aviral311,66.67,13.33,1.67,10.00,1.67,0,0,0,0,35,0,30,5,5,5,0,0,13.33,1.67,10.00,1.67
AdvaitAttavar,45.00,9.00,0.00,9.00,0.00,9.00,0.00,9.00,0.00,9.00,0.00,9.00,0.00,9,0,9,0,9.00,0.00,9.00,0.00
Swarnava_Chattaraj,45.00,9.00,0.00,9.00,0.00,9.00,0.00,9.00,0.00,9.00,0.00,9.00,0.00,9,0,9,0,9.00,0.00,9.00,0.00
mananman23,45.00,9.00,0.00,9.00,0.00,9.00,0.00,9.00,0.00,9.00,0.00,9.00,0.00,9,0,9,0,9.00,0.00,9.00,0.00
vedants1905,25.00,5.00,5.00,0.00,0.00,5.00,5.00,0.00,0.00,5.00,5.00,0.00,0.00,5,5,0,0,5.00,5.00,0.00,0.00
gargtanmay,25.00,5.00,5.00,0.00,0.00,5.00,5.00,0.00,0.00,5.00,5.00,0.00,0.00,5,5,0,0,5.00,5.00,0.00,0.00
Hargun02,13.33,2.67,2.67,0.00,0.00,0,0,0,0,8,8,0,0,0,0,0,0,2.67,2.67,0.00,0.00
Akshat__Singhania,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
red24,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MiraclePlusPlus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
arnavgupta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
sabertooth_69,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
